mass,formula,frac_abundance
52.01871872,C3H2N,5.50E-04
52.02682877,j13CC3H3,4.45E-04
52.03129959,C4H4,5.50E-03
53.00273895,C3HO,2.18E-03
53.02207947,j13CC2H2N,1.79E-05
53.02655029,C3H3N,1.21E-03
53.03466034,j13CC3H4,2.38E-04
53.03911972,C4H5,1.82E-02
54.0060997,j13CC2HO,7.06E-05
54.01055908,C3H2O,2.16E-03
54.02990341,j13CC2H3N,3.93E-05
54.03437042,C3H4N,3.93E-04
54.04248047,j13CC3H5,7.88E-04
54.04695129,C4H6,4.66E-03
55.01391983,j13CC2H2O,7.01E-05
55.01839066,C3H3O,2.21E-02
55.03772736,j13CC2H4N,1.28E-05
55.0503006,j13CC3H6,2.02E-04
55.05477905,C4H7,1.23E-02
55.98983002,C2O2,2.22E-04
56.02173996,j13CC2H3O,7.16E-04
56.02621078,C3H4O,1.70E-03
56.05002975,C3H6N,1.65E-04
56.05812836,j13CC3H7,5.33E-04
56.06259918,C4H8,1.69E-03
56.99317932,j13CCO2,4.81E-06
56.99765015,C2HO2,2.58E-05
57.02146912,C2H3NO,2.80E-04
57.02957153,j13CC2H4O,5.51E-05
57.03403854,C3H5O,3.03E-03
57.05337906,j13CC2H6N,5.36E-06
57.05784988,C3H7N,1.22E-04
57.06595993,j13CC3H8,7.31E-05
57.07043076,C4H9,5.72E-04
58.00101089,j13CCHO2,5.57E-07
58.00548172,C2H2O2,4.69E-04
58.02481842,j13CCH3NO,6.06E-06
58.02928925,C2H4NO,2.61E-04
58.03739929,j13CC2H5O,9.84E-05
58.04187012,C3H6O,6.46E-03
58.061203,j13CC2H7N,3.97E-06
58.06567001,C3H8N,9.51E-05
58.07378006,j13CC3H9,2.47E-05
58.07825089,C4H10,8.92E-06
58.96868134,COP,2.90E-05
58.99554062,C2H3S,4.02E-05
59.00883102,j13CCH2O2,1.01E-05
59.01330948,C2H3O2,2.05E-04
59.03170013,C2H7Si,0.00E+00
59.03264236,j13CCH4NO,5.65E-06
59.03710938,C2H5NO,3.00E-04
59.04521942,j13CC2H6O,2.10E-04
59.04969025,C3H7O,4.60E-03
59.06903076,j13CC2H8N,3.08E-06
59.07350159,C3H9N,5.99E-05
59.08160019,j13CC3H10,3.86E-07
59.96675573,O2Si,0.00E+00
59.96697998,CSO,5.12E-05
59.97203064,j13COP,3.13E-07
59.99890137,j13CCH3S,8.69E-07
60,C5,1.25E-04
60.01665878,j13CCH3O2,4.44E-06
60.02112961,C2H4O2,1.81E-03
60.03126907,C2H7j29Si,0.00E+00
60.03505707,j13CCH7Si,0.00E+00
60.04047012,j13CCH5NO,6.49E-06
60.05303955,j13CC2H7O,1.49E-04
60.05751038,C3H8O,3.88E-05
60.07685471,j13CC2H9N,1.94E-06
60.96632385,O2j29Si,0.00E+00
60.97034073,j13CSO,5.53E-07
60.97481155,CHSO,2.15E-05
60.99134064,C2H3j34S,1.80E-06
61.0033493,j13CC4,6.75E-06
61.00782013,C5H,7.18E-04
61.01638031,CH3NO2,-2.55E-06
61.02447891,j13CCH4O2,3.91E-05
61.02854538,C2H7j30Si,0.00E+00
61.02894974,C2H5O2,2.56E-04
61.06087112,j13CC2H8O,1.26E-06
61.96278,Cj34SO,2.29E-06
61.96360016,O2j30Si,0.00E+00
61.97816467,j13CHSO,2.33E-07
61.98263931,CH2SO,8.81E-05
62.01118088,j13CC4H,3.88E-05
62.0156517,C5H2,1.67E-03
62.01973343,j13CH3NO2,-2.76E-08
62.02420044,CH4NO2,-1.97E-06
62.03231049,j13CCH5O2,5.54E-06
62.03678131,C2H6O2,3.00E-06
62.92959976,Cu,0.00E+00
62.96376733,CClO,8.42E-05
62.97060776,CHj34SO,9.64E-07
62.98598862,j13CH2SO,9.52E-07
62.99045944,CH3SO,1.21E-05
62.9956398,HNO3,0.00E+00
63.01089904,C4HN,4.61E-04
63.01900101,j13CC4H2,9.04E-05
63.02347946,C5H3,3.15E-03
63.02755737,j13CH4NO2,-2.14E-08
63.0320282,CH5NO2,-1.51E-06
63.04013443,j13CCH6O2,6.48E-08
63.9618988,SO2,0.00E+00
63.96712112,j13CClO,9.11E-07
63.9784317,CH2j34SO,3.94E-06
63.99381638,j13CH3SO,1.31E-07
63.99491501,C4O,1.18E-03
64.01425388,j13CC3HN,2.00E-05
64.01872253,C4H2N,-1.36E-05
64.02683258,j13CC4H3,1.70E-04
64.03130341,C5H4,8.24E-04
64.03538513,j13CH5NO2,-1.63E-08
64.92780304,j65Cu,0.00E+00
64.96081543,Cj37ClO,2.70E-05
64.96128845,j33SO2,0.00E+00
64.96972656,HSO2,0.00E+00
64.98625946,CH3j34SO,5.42E-07
64.99826813,j13CC3O,5.11E-05
65.00273895,C4HO,2.12E-05
65.02207947,j13CC3H2N,-5.89E-07
65.0265491,C4H3N,6.99E-04
65.03465271,j13CC4H4,4.46E-05
65.03912354,C5H5,6.78E-03
65.95770264,j34SO2,0.00E+00
65.96911621,Hj33SO2,0.00E+00
65.97754669,H2SO2,0.00E+00
66.00610352,j13CC3HO,9.17E-07
66.01056671,C4H2O,1.00E-03
66.02990394,j13CC3H3N,3.02E-05
66.03437042,C4H4N,2.25E-04
66.04248047,j13CC4H5,3.66E-04
66.04695129,C5H6,3.49E-03
66.96552277,Hj34SO2,0.00E+00
67.0058136,C3HNO,5.37E-04
67.01392365,j13CC3H2O,4.33E-05
67.01838684,C4H3O,5.87E-04
67.03772736,j13CC3H4N,9.75E-06
67.04219917,C4H5N,1.51E-03
67.05030823,j13CC4H6,1.89E-04
67.05477142,C5H7,1.46E-02
67.9733429,H2j34SO2,0.00E+00
67.98983002,C3O2,1.86E-04
68.00917053,j13CC2HNO,1.74E-05
68.01364136,C3H2NO,4.67E-04
68.02174377,j13CC3H3O,2.54E-05
68.02620697,C4H4O,4.49E-03
68.045554,j13CC3H5N,6.52E-05
68.05003357,C4H6N,6.71E-04
68.05812836,j13CC4H7,7.89E-04
68.06259918,C5H8,6.41E-03
68.99318695,j13CC2O2,6.02E-06
68.99765778,C3HO2,7.55E-03
69.01699066,j13CC2H2NO,1.51E-05
69.02146149,C3H3NO,-2.63E-06
69.02957153,j13CC3H4O,1.94E-04
69.03404236,C4H5O,3.89E-03
69.05337524,j13CC3H6N,2.90E-05
69.05784923,C4H7N,9.80E-04
69.06596375,j13CC4H8,3.47E-04
69.07042694,C5H9,1.24E-02
70.00100708,j13CC2HO2,2.45E-04
70.00547791,C3H2O2,3.44E-04
70.02481842,j13CC2H3NO,-8.53E-08
70.02928925,C3H4NO,2.39E-04
70.03739166,j13CC3H5O,1.68E-04
70.04186249,C4H6O,2.45E-03
70.0548842,C4H7j15N,3.58E-06
70.06120407,j13CC3H7N,4.24E-05
70.0656662,C4H8N,1.05E-04
70.07377625,j13CC4H9,6.71E-04
70.07824707,C5H10,7.36E-04
71.00883484,j13CC2H2O2,1.12E-05
71.01331329,C3H3O2,1.27E-03
71.03264618,j13CC2H4NO,7.74E-06
71.037117,C3H5NO,3.32E-04
71.04521942,j13CC3H6O,1.06E-04
71.04969025,C4H7O,3.65E-03
71.06903076,j13CC3H8N,4.55E-06
71.07350159,C4H9N,6.25E-05
71.08159637,j13CC4H10,3.98E-05
71.0860672,C5H11,1.22E-04
71.96698535,C2SO,7.74E-06
72,C6,4.43E-05
72.0166626,j13CC2H3O2,4.14E-05
72.02113342,C3H4O2,5.59E-04
72.04046631,j13CC2H5NO,1.08E-05
72.04493713,C3H6NO,9.33E-05
72.05304718,j13CC3H7O,1.58E-04
72.05751801,C4H8O,9.67E-04
72.07685089,j13CC3H9N,2.71E-06
72.08132172,C4H10N,1.58E-05
72.08943176,j13CC4H11,6.58E-06
72.09390259,C5H12,8.77E-06
72.97034019,j13CCSO,1.67E-07
72.97480774,C2HSO,1.60E-05
73.00335693,j13CC5,2.88E-06
73.00782776,C6H,6.10E-05
73.01096344,C2H5OSi,0.00E+00
73.01638031,C2H3NO2,1.50E-04
73.02448273,j13CC2H4O2,1.82E-05
73.02895355,C3H5O2,9.58E-04
73.04734802,C3H9Si,0.00E+00
73.04829407,j13CC2H6NO,3.03E-06
73.05275726,C3H7NO,6.06E-05
73.06086731,j13CC3H8O,4.18E-05
73.06533813,C4H9O,1.52E-04
73.07835929,C4H10j15N,5.79E-08
73.08467865,j13CC3H10N,6.85E-07
73.08760107,C4j2HH9N,1.82E-08
73.08914948,C4H11N,9.10E-06
73.0927887,j13C2C3H11,1.42E-07
73.09725189,j13CC4H12,4.74E-07
73.93255961,ClK,0.00E+00
73.96278381,C2j34SO,3.46E-07
73.97419819,C2Hj33SO,1.26E-07
73.97816467,j13CCHSO,3.46E-07
73.98264313,C2H2SO,4.48E-05
74.01053619,C2H5Oj29Si,0.00E+00
74.01117706,j13CC5H,3.96E-06
74.01432037,j13CCH5OSi,0.00E+00
74.01564789,C6H2,6.84E-04
74.01972961,j13CCH3NO2,3.24E-06
74.03231049,j13CC2H5O2,3.11E-05
74.03678131,C3H6O2,1.26E-04
74.04692078,C3H9j29Si,0.00E+00
74.05070496,j13CC2H9Si,0.00E+00
74.05612183,j13CC2H7NO,1.97E-06
74.0687027,j13CC3H9O,6.60E-06
74.07317352,C4H10O,1.16E-05
74.09250641,j13CC3H11N,3.94E-07
74.97060394,C2Hj34SO,7.16E-07
74.97905616,C2HSj18O,3.29E-08
74.98202323,C2H2j33SO,3.53E-07
74.98599243,j13CCH2SO,9.68E-07
74.99046326,C2H3SO,5.28E-06
75.0078125,C2H5Oj30Si,0.00E+00
75.01089904,C5HN,9.27E-05
75.01899719,j13CC5H2,4.44E-05
75.02348328,C6H3,0.000290078
75.0320282,C2H5NO2,4.67E-05
75.04013062,j13CC2H6O2,4.07E-06
75.04419708,C3H9j30Si,0
75.04460144,C3H7O2,0.000169003
75.06841278,C3H9NO,7.93E-06
75.07652283,j13CC3H10O,5.03E-07
75.92961121,j37ClK,0
75.93067932,Clj41K,0
75.94413757,CS2,1.18E-05
75.9618988,CSO2,3.08E-06
75.9784317,C2H2j34SO,2.00E-06
75.98688119,C2H2Sj18O,9.20E-08
75.98984826,C2H3j33SO,4.17E-08
75.99381256,j13CCH3SO,1.14E-07
75.99491119,C5O,1.21E-06
75.99828339,C2H4SO,1.61E-06
76.007934,C5Hj15N,3.39E-07
76.01425388,j13CC4HN,5.01E-06
76.01603699,C2H4O3,2.92E-05
76.01872407,C5H2N,0.000129232
76.02683258,j13CC5H3,1.88E-05
76.03130341,C6H4,0.0004241
76.03538513,j13CCH5NO2,1.01E-06
76.03986359,C2H6NO2,1.35E-06
76.04795837,j13CC2H7O2,5.48E-06
76.0524292,C3H8O2,1.25E-05
76.07176971,j13CC2H9NO,2.57E-07
76.94352722,Cj33SS,1.86E-07
76.94749451,j13CS2,1.28E-07
76.96525574,j13CSO2,3.33E-08
76.96972656,CHSO2,7.85E-05
76.98625946,C2H3j34SO,2.36E-07
76.99470623,C2H3Sj18O,1.09E-08
76.99767329,C2H4j33SO,1.27E-08
76.99826813,j13CC4O,6.56E-08
77.00164032,j13CCH4SO,3.48E-08
77.00273895,C5HO,1.03E-05
77.00611115,C2H5SO,-3.79E-07
77.01575904,C5H2j15N,4.72E-07
77.01760872,j13C2C3HN,1.08E-07
77.01940155,j13CCH4O3,6.31E-07
77.02207891,j13CC4H2N,6.99E-06
77.0265491,C5H3N,0.001117889
77.03465271,j13CC5H4,2.75E-05
77.03912354,C6H5,0.0072952
77.04320526,j13CCH6NO2,2.92E-08
77.05578613,j13CC2H8O2,4.05E-07
77.06025696,C3H9O2,0.000150991
77.92772675,j37Clj41K,0
77.93994141,Cj34SS,1.05E-06
77.95769501,Cj34SO2,1.38E-07
77.9730835,j13CHSO2,8.49E-07
77.97754669,CH2SO2,4.11E-05
77.99407959,C2H4j34SO,7.21E-08
77.99799347,C4NO,6.45E-05
78.00253126,C2H4Sj18O,3.31E-09
78.00549832,C2H5j33SO,-2.99E-09
78.00610352,j13CC4HO,5.59E-07
78.00946808,j13CCH5SO,-8.20E-09
78.01056671,C5H2O,-3.98E-07
78.02358407,C5H3j15N,4.08E-06
78.02543375,j13C2C3H2N,1.51E-07
78.02990394,j13CC4H3N,6.05E-05
78.03437414,C5H4N,0.000260217
78.04248047,j13CC5H5,0.000473416
78.04695129,C6H6,0.001825382
78.06360626,j13CC2H9O2,4.90E-06
78.91832733,Br,0
78.96552277,CHj34SO2,3.51E-06
78.98090363,j13CH2SO2,4.44E-07
79.00134277,j13CC3NO,2.79E-06
79.00190735,C2H5j34SO,-1.70E-08
79.00581366,C4HNO,0.000228543
79.01035629,C2H5Sj18O,-7.79E-10
79.01392365,j13CC4H2O,-2.15E-08
79.01838684,C5H3O,-3.30E-06
79.0314091,C5H4j15N,9.51E-07
79.03325878,j13C2C3H3N,1.31E-06
79.03772897,j13CC4H4N,1.41E-05
